Experiment,Mean Fidelity,Std Fidelity,RMSE_x,RMSE_y,RMSE_z,Frac > 0.95,Convergence Epoch
PriorityC_sic_seed48,0.9238275,0.12556839,0.021151578,0.023276763,0.019039696,0.7001,101
PriorityC_sic_seed49,0.9252044,0.12371328,0.015979633,0.018220244,0.017523177,0.7015,106
PriorityC_sic_seed50,0.92289317,0.1265852,0.01782177,0.0193919,0.01694954,0.7009,128
PriorityC_XZ_seed48,0.81983614,0.1565239,0.015662443,0.4638029,0.015523642,0.3413,255
PriorityC_XZ_seed49,0.8199033,0.15785608,0.013686517,0.4583079,0.0179966,0.3475,124
PriorityC_XZ_seed50,0.8253459,0.15566656,0.013557001,0.45588273,0.01593742,0.3539,75
