Experiment,Mean Fidelity,Std Fidelity,RMSE_x,RMSE_y,RMSE_z,Frac > 0.95,Convergence Epoch
PriorityD_adaptive_baseline_seed48,0.9261069,0.122043304,0.013196918,0.0136627,0.016042199,0.7001,219
PriorityD_adaptive_baseline_seed49,0.9228382,0.12616183,0.01949172,0.015242409,0.016665967,0.7015,119
PriorityD_adaptive_baseline_seed50,0.9231582,0.12583996,0.017582156,0.014219923,0.015332267,0.7009,85
PriorityD_adaptive_XZ_seed48,0.8210457,0.15683399,0.013630452,0.46387362,0.016944513,0.35,125
PriorityD_adaptive_XZ_seed49,0.82374716,0.15730318,0.01290551,0.45827496,0.015915234,0.3562,114
PriorityD_adaptive_XZ_seed50,0.82033205,0.15623818,0.015012325,0.45583466,0.015816502,0.3432,337
